GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
459,exon,0.154547,400,0.301962,0.201084,0.266172,0.230782,0.388269,1.000000,0.027044,0.030593,0.369976,0.268810
460,exon,0.339991,1071,0.313873,0.216286,0.266457,0.203384,0.152651,1.000000,0.014087,0.084517,0.332650,0.203278
461,exon,0.376147,340,0.329804,0.206777,0.243080,0.220339,0.512200,1.000000,0.039082,0.152220,0.392141,0.102917
462,exon,0.005585,740,0.294325,0.231156,0.242374,0.232145,0.233930,1.000000,0.029820,0.130083,0.396950,0.220356
463,exon,0.257958,718,0.312746,0.230679,0.243346,0.213228,0.105771,1.000000,0.016004,0.097765,0.402166,0.140586
464,exon,0.181522,663,0.352708,0.230584,0.222125,0.194584,0.288131,1.000000,0.033935,0.153052,0.286418,0.138914
465,exon,0.009165,680,0.331035,0.210429,0.275214,0.183322,0.073316,1.000000,0.113368,0.148051,0.323366,0.186873
466,exon,0.265118,378,0.327616,0.216286,0.242143,0.213955,1.080554,1.000000,0.067661,0.043262,0.227603,0.252738
467,exon,0.108080,1093,0.326598,0.226294,0.242076,0.205031,0.065212,1.000000,0.117081,0.121801,0.336831,0.174954
468,exon,0.077949,653,0.311070,0.279875,0.232837,0.176219,0.778631,1.000000,0.082342,0.091008,0.329327,0.172684
469,exon,0.086856,956,0.284929,0.231216,0.258390,0.225465,0.405770,1.000000,0.088438,0.108922,0.337426,0.190838
470,exon,0.649448,899,0.288979,0.209265,0.265913,0.235843,0.366100,1.000000,0.031973,0.033080,0.384472,0.211412
471,exon,0.789290,1190,0.376774,0.216904,0.193176,0.213146,0.326093,1.000000,0.036611,0.152629,0.373394,0.143602
472,exon,0.042364,489,0.323589,0.207464,0.237627,0.231320,0.104671,1.000000,0.066696,0.092631,0.346645,0.143314
473,exon,0.133882,805,0.383642,0.254608,0.213764,0.147985,0.348855,1.000000,0.007764,0.107822,0.287955,0.214857
474,exon,0.159394,750,0.321159,0.219680,0.228061,0.231100,0.411361,1.000000,0.020217,0.142275,0.365510,0.170135
475,exon,0.007770,1189,0.361858,0.264496,0.196469,0.177177,0.942994,1.000000,0.025793,0.151818,0.330851,0.236439
476,exon,0.085168,1534,0.312598,0.245481,0.276421,0.165500,0.585038,1.000000,0.099925,0.152453,0.249242,0.228729
477,exon,0.400003,296,0.271080,0.245601,0.241834,0.241484,0.173174,1.000000,0.043219,0.129412,0.165936,0.241757
478,exon,0.289177,1135,0.260704,0.241391,0.244430,0.253476,0.041498,1.000000,0.016020,0.139972,0.439130,0.215049
479,exon,0.231556,1100,0.272459,0.274957,0.204370,0.248213,0.169512,1.000000,0.026098,0.136526,0.181061,0.133500
480,exon,0.105230,679,0.306241,0.222237,0.270077,0.201445,0.832401,1.000000,0.017411,0.035566,0.304507,0.277680
481,exon,0.095871,857,0.355037,0.200108,0.229692,0.215162,0.433428,1.000000,0.028255,0.097197,0.292242,0.189024
482,exon,0.005465,316,0.314795,0.236007,0.208240,0.240958,0.234774,1.000000,0.095516,0.238828,0.255230,0.145851
483,exon,0.322820,611,0.342015,0.236725,0.200731,0.220528,0.515400,1.000000,0.119169,0.065009,0.332430,0.198737
484,exon,0.095436,548,0.274333,0.259447,0.231601,0.234620,0.290332,1.000000,0.037211,0.075005,0.207421,0.216896
485,exon,0.211163,1079,0.341003,0.216570,0.215979,0.226448,0.125038,1.000000,0.091168,0.181729,0.279298,0.141834
486,exon,0.492799,1108,0.326443,0.225285,0.238620,0.209652,0.196337,1.000000,0.023797,0.061602,0.269018,0.209851
487,exon,0.490353,396,0.290257,0.328913,0.224035,0.156795,0.404244,1.000000,0.102391,0.140115,0.231909,0.175684
488,exon,0.064908,735,0.320754,0.187949,0.264233,0.227064,0.650469,1.000000,0.096603,0.085839,0.207094,0.160204
489,exon,0.888897,733,0.298956,0.275603,0.237766,0.187675,0.099899,1.000000,0.014013,0.188509,0.287983,0.122427
490,exon,0.039661,676,0.320237,0.191364,0.286584,0.201816,0.512541,1.000000,0.035112,0.198832,0.315460,0.173784
491,exon,0.033090,1137,0.339462,0.235887,0.263024,0.161627,0.256774,1.000000,0.051567,0.206118,0.263834,0.112616
492,exon,0.138515,1558,0.321157,0.262887,0.232293,0.183662,0.426114,1.000000,0.037870,0.069689,0.286450,0.128550
493,exon,0.043955,657,0.343626,0.204765,0.225712,0.225897,0.378282,1.000000,0.044185,0.065257,0.382769,0.167552
494,exon,0.140515,1050,0.323357,0.241097,0.202038,0.233509,0.299055,1.000000,0.036574,0.170448,0.283529,0.190778
495,exon,0.435976,733,0.293773,0.214298,0.246245,0.245684,0.412055,1.000000,0.149032,0.052027,0.316848,0.122587
496,exon,0.931340,1259,0.344833,0.199070,0.220588,0.235509,0.148242,1.000000,0.050941,0.127502,0.205697,0.202459
497,exon,0.196519,453,0.338378,0.177736,0.256309,0.227576,0.209168,1.000000,0.091775,0.105855,0.372154,0.142385
498,exon,0.061065,630,0.327227,0.228918,0.228941,0.214913,0.761562,1.000000,0.012560,0.054908,0.447810,0.132123
499,exon,0.040701,1070,0.328329,0.161270,0.298295,0.212107,0.567208,1.000000,0.044984,0.164616,0.296582,0.230559
500,exon,0.195577,1543,0.343539,0.212986,0.216858,0.226617,0.123065,1.000000,0.065082,0.073853,0.346461,0.298998
501,exon,0.169429,1292,0.231323,0.331110,0.227873,0.209695,0.054643,1.000000,0.017808,0.172074,0.300317,0.193032
502,exon,0.047525,658,0.329481,0.207907,0.259777,0.202835,0.135958,1.000000,0.038360,0.094704,0.260754,0.280844
503,exon,0.395235,1242,0.312633,0.266926,0.209530,0.210911,0.334037,1.000000,0.053227,0.100632,0.235666,0.236623
504,exon,0.213859,312,0.303429,0.202240,0.265810,0.228520,0.104011,1.000000,0.042087,0.104425,0.340913,0.259414
505,exon,0.036368,1381,0.359145,0.179144,0.206385,0.255325,1.234133,1.000000,0.073775,0.059751,0.293646,0.170783
506,exon,0.065402,606,0.325403,0.239162,0.241007,0.194429,0.447701,1.000000,0.032137,0.195738,0.128290,0.222255
507,exon,0.223175,381,0.317153,0.295642,0.178008,0.209197,0.539624,1.000000,0.103074,0.140968,0.180501,0.219726
508,exon,0.106423,1402,0.332592,0.239706,0.227935,0.199767,0.239417,1.000000,0.045712,0.170630,0.408979,0.105887
509,exon,0.353795,288,0.353536,0.188552,0.270880,0.187031,0.169904,1.000000,0.066023,0.052714,0.257899,0.306512
510,exon,0.150492,403,0.340687,0.198846,0.208689,0.251779,0.310189,1.000000,0.033510,0.091418,0.385328,0.184977
511,exon,0.939056,370,0.305047,0.183986,0.250642,0.260326,0.466578,1.000000,0.033775,0.166724,0.322838,0.160304
512,exon,0.127265,1225,0.327068,0.189376,0.297075,0.186482,0.179636,1.000000,0.048285,0.226187,0.235881,0.165851
513,exon,0.131282,1702,0.287031,0.203370,0.271094,0.238505,0.190673,1.000000,0.005900,0.094729,0.171179,0.352049
514,exon,0.178262,784,0.332534,0.246345,0.205810,0.215311,0.605546,1.000000,0.008995,0.121468,0.491762,0.140352
515,exon,0.157940,1231,0.252425,0.293716,0.267164,0.186695,0.198571,1.000000,0.057546,0.058090,0.190930,0.383845
516,exon,0.440845,420,0.272391,0.220180,0.222489,0.284940,0.285583,1.000000,0.027950,0.176555,0.302985,0.145750
517,exon,1.343537,329,0.325115,0.208612,0.271940,0.194333,0.122603,1.000000,0.172017,0.032476,0.155653,0.166053
518,exon,0.081218,675,0.365426,0.199203,0.189715,0.245656,0.130672,1.000000,0.076408,0.120737,0.167668,0.313548
519,exon,0.120356,364,0.319977,0.260972,0.222935,0.196116,0.294148,1.000000,0.141566,0.102406,0.235267,0.109319
520,exon,0.019387,811,0.309276,0.219750,0.252895,0.218079,0.299463,1.000000,0.070773,0.088530,0.294656,0.092836
521,exon,0.025008,806,0.337192,0.217880,0.242086,0.202842,0.345323,1.000000,0.048132,0.153231,0.437425,0.122646
522,exon,0.391695,533,0.291920,0.236062,0.232970,0.239048,0.180405,1.000000,0.069207,0.102301,0.285627,0.158514
523,exon,0.066098,348,0.261074,0.225699,0.241902,0.271324,0.437404,1.000000,0.104256,0.121178,0.359713,0.110199
524,exon,0.203220,984,0.315623,0.179746,0.312015,0.192616,0.245088,1.000000,0.025043,0.073245,0.346368,0.222823
525,exon,0.094481,579,0.337937,0.204217,0.266229,0.191618,0.299858,1.000000,0.106164,0.093908,0.287409,0.139721
526,exon,0.322685,1447,0.321426,0.248342,0.229399,0.200833,0.685033,1.000000,0.068111,0.070107,0.201742,0.221474
527,exon,0.863830,449,0.363392,0.197431,0.263645,0.175532,0.254045,1.000000,0.049225,0.039424,0.323877,0.212209
528,exon,0.332884,2176,0.335724,0.232392,0.251276,0.180607,0.609600,1.000000,0.037211,0.116372,0.324286,0.137432
529,exon,0.348015,650,0.352874,0.206853,0.220686,0.219587,0.237996,1.000000,0.033876,0.214491,0.332365,0.202345
530,exon,0.231512,873,0.359167,0.182298,0.268125,0.190411,0.420721,1.000000,0.051113,0.064198,0.367229,0.304724
531,exon,0.254878,356,0.288323,0.243298,0.216443,0.251937,0.135413,1.000000,0.030305,0.152491,0.389000,0.173087
532,exon,0.467703,1134,0.331755,0.255075,0.233295,0.179875,0.288645,1.000000,0.024365,0.073213,0.296283,0.199383
533,exon,0.042895,329,0.293906,0.238784,0.265720,0.201591,0.231030,1.000000,0.035451,0.110736,0.345630,0.242650
534,exon,0.399019,872,0.320666,0.241164,0.244285,0.193885,0.184287,1.000000,0.028072,0.206105,0.376303,0.153034
535,exon,0.315171,1257,0.297097,0.230099,0.251774,0.221030,0.218906,1.000000,0.015963,0.073999,0.322839,0.181961
536,exon,0.198844,441,0.386211,0.231366,0.195237,0.187186,0.552553,1.000000,0.060622,0.131565,0.265528,0.207370
537,exon,0.115112,1294,0.296982,0.229493,0.253106,0.220418,0.321917,1.000000,0.066400,0.043198,0.430732,0.146403
538,exon,0.595842,305,0.272587,0.222908,0.268375,0.236130,0.249587,1.000000,0.035483,0.100937,0.334784,0.208190
539,exon,0.388365,558,0.330700,0.200795,0.240810,0.227695,0.708818,1.000000,0.051840,0.058833,0.420385,0.239474
540,exon,0.189513,669,0.347517,0.225672,0.245104,0.181707,0.124176,1.000000,0.042780,0.095343,0.240907,0.304986
541,exon,0.799786,508,0.308754,0.188980,0.297992,0.204274,0.431847,1.000000,0.063090,0.127907,0.291205,0.190197
542,exon,0.328463,923,0.348109,0.217585,0.253198,0.181109,1.751653,1.000000,0.026355,0.158925,0.329681,0.159215
543,exon,0.101471,1496,0.302973,0.235160,0.201600,0.260267,0.387157,1.000000,0.015980,0.171936,0.232903,0.161004
544,exon,0.078438,364,0.290572,0.261861,0.212597,0.234971,0.731547,1.000000,0.088656,0.058398,0.352743,0.179433
545,exon,0.009668,420,0.352862,0.204966,0.244217,0.197955,0.642382,1.000000,0.005658,0.156034,0.393665,0.158253
546,exon,0.229042,1002,0.336488,0.207100,0.252684,0.203729,0.530677,1.000000,0.067021,0.073472,0.257159,0.235062
547,exon,0.508138,596,0.277793,0.244003,0.249973,0.228231,0.779669,1.000000,0.152944,0.216829,0.176131,0.153027
548,exon,0.194612,1036,0.297238,0.246906,0.237627,0.218228,0.362232,1.000000,0.032687,0.128609,0.412474,0.129161
549,exon,0.125394,624,0.329291,0.232852,0.218253,0.219603,0.460739,1.000000,0.133574,0.145400,0.339679,0.143579
550,exon,0.131091,674,0.326990,0.195138,0.280532,0.197340,0.582771,1.000000,0.062061,0.065415,0.301736,0.204831
551,exon,0.252468,1269,0.298459,0.243741,0.261878,0.195922,0.617612,1.000000,0.028439,0.031849,0.340285,0.243898
552,exon,0.178038,1072,0.293079,0.231531,0.236240,0.239150,0.255783,1.000000,0.049565,0.145678,0.435151,0.096687
553,exon,0.391371,437,0.342353,0.221961,0.249927,0.185759,0.296562,1.000000,0.070259,0.062579,0.296895,0.223991
554,exon,0.054224,432,0.352736,0.184835,0.200681,0.261747,0.351638,1.000000,0.048014,0.081482,0.434637,0.152068
555,exon,0.240845,982,0.361602,0.226930,0.199316,0.212152,0.157906,1.000000,0.083248,0.070814,0.271390,0.117264
556,exon,0.869133,1359,0.321828,0.232459,0.246521,0.199192,0.124939,1.000000,0.031401,0.211055,0.239887,0.211770
557,exon,0.434175,943,0.324402,0.249152,0.265744,0.160702,0.174593,1.000000,0.081387,0.062954,0.385074,0.163800
558,exon,0.020613,349,0.302465,0.201549,0.240555,0.255431,0.457557,1.000000,0.021385,0.080000,0.314018,0.252799
559,exon,0.006430,378,0.351760,0.220585,0.242771,0.184885,0.260177,1.000000,0.037045,0.115630,0.326441,0.112442
560,exon,0.532340,506,0.333253,0.246283,0.228881,0.191583,0.321589,1.000000,0.089910,0.174145,0.348361,0.090046
561,exon,0.300665,1234,0.343159,0.220803,0.236093,0.199945,0.130312,1.000000,0.027913,0.067006,0.262769,0.309699
562,exon,0.105715,925,0.318954,0.224131,0.250318,0.206597,0.307743,1.000000,0.024544,0.082669,0.225426,0.203983
563,exon,0.212582,574,0.293079,0.210790,0.293153,0.202978,0.550678,1.000000,0.061183,0.051454,0.260896,0.331081
564,exon,0.056088,651,0.310911,0.251347,0.209147,0.228595,0.090277,1.000000,0.086223,0.107211,0.391741,0.132227
565,exon,0.886668,333,0.287562,0.247845,0.278318,0.186275,0.238889,1.000000,0.042751,0.063016,0.348386,0.151412
566,exon,0.021162,928,0.304999,0.243345,0.235375,0.216281,0.194175,1.000000,0.045326,0.159551,0.317731,0.328611
567,exon,0.116866,226,0.288124,0.249393,0.240653,0.221830,0.392399,1.000000,0.015506,0.146812,0.218335,0.195065
568,exon,0.147079,731,0.317223,0.229263,0.236538,0.216976,0.673536,1.000000,0.078717,0.075097,0.281940,0.303704
569,exon,0.166559,966,0.357123,0.216882,0.223667,0.202327,0.517556,1.000000,0.049159,0.179632,0.285036,0.103810
570,exon,0.570134,541,0.285164,0.242436,0.259643,0.212757,1.140664,1.000000,0.092276,0.093138,0.333655,0.184297
571,exon,0.387034,728,0.316765,0.217109,0.240773,0.225354,0.105340,1.000000,0.061457,0.089755,0.308908,0.231171
572,exon,0.395394,1437,0.300440,0.181253,0.262829,0.255478,0.344866,1.000000,0.043648,0.123386,0.272482,0.285378
573,exon,0.268672,1167,0.300845,0.247915,0.207325,0.243915,0.140970,1.000000,0.067264,0.157277,0.348133,0.197060
574,exon,0.108722,483,0.291463,0.271728,0.255543,0.181266,0.203748,1.000000,0.058147,0.055108,0.311277,0.265934
575,exon,0.039474,774,0.304879,0.250872,0.224677,0.219572,0.306837,1.000000,0.092892,0.106270,0.372039,0.125181
576,exon,0.930572,396,0.327898,0.247914,0.224167,0.200021,0.152551,1.000000,0.020263,0.137407,0.337377,0.240763
577,exon,0.273175,501,0.319167,0.266995,0.200504,0.213334,0.474718,1.000000,0.148931,0.072435,0.249159,0.161911
578,exon,0.178754,416,0.306051,0.210806,0.246334,0.236809,0.471654,1.000000,0.017893,0.156773,0.340222,0.197255
579,exon,0.211811,1080,0.355495,0.248734,0.216943,0.178827,0.188969,1.000000,0.071413,0.138477,0.367755,0.210218
580,exon,0.019537,871,0.375119,0.189066,0.229545,0.206270,0.268917,1.000000,0.034094,0.064621,0.272113,0.235391
581,exon,0.001232,336,0.315239,0.222174,0.250426,0.212160,0.290076,1.000000,0.005091,0.097774,0.126639,0.259753
582,exon,0.100288,1338,0.343088,0.255943,0.238969,0.161999,0.337135,1.000000,0.005515,0.178401,0.281132,0.284631
583,exon,0.084379,1473,0.304258,0.251302,0.203258,0.241182,0.210131,1.000000,0.024837,0.171881,0.292067,0.123837
584,exon,0.180592,803,0.261113,0.275777,0.264499,0.198611,0.233584,1.000000,0.072660,0.097905,0.317750,0.210349
585,exon,0.586038,362,0.368407,0.188621,0.225588,0.217385,0.187328,1.000000,0.113485,0.118265,0.280245,0.173260
586,exon,0.272280,382,0.315662,0.223106,0.270843,0.190388,0.342018,1.000000,0.028563,0.159027,0.422463,0.237755
587,exon,0.015745,618,0.316173,0.253668,0.231930,0.198230,0.236564,1.000000,0.104837,0.032254,0.415307,0.176565
588,exon,0.192992,674,0.316749,0.199643,0.236763,0.246845,0.224927,1.000000,0.014297,0.064678,0.307188,0.113240
589,exon,0.194774,672,0.347925,0.225455,0.186950,0.239670,1.030720,1.000000,0.055080,0.178485,0.226029,0.132862
590,exon,0.035900,1441,0.323083,0.209766,0.241769,0.225382,0.639390,1.000000,0.050109,0.108196,0.397050,0.207907
591,exon,0.557121,735,0.344938,0.209475,0.272668,0.172918,0.108806,1.000000,0.076248,0.134514,0.284367,0.231481
592,exon,0.009073,455,0.320037,0.229807,0.221005,0.229152,0.229116,1.000000,0.068617,0.095404,0.253763,0.136461
593,exon,0.066659,766,0.286963,0.251605,0.286134,0.175298,0.534436,1.000000,0.099801,0.092798,0.389724,0.160593
594,exon,0.065025,432,0.280666,0.267978,0.268210,0.183146,0.103821,1.000000,0.117248,0.103517,0.382980,0.129804
595,exon,0.065998,288,0.361500,0.171221,0.278761,0.188517,0.136562,1.000000,0.105680,0.080945,0.318200,0.206746
596,exon,0.451895,413,0.389925,0.186304,0.217366,0.206405,0.085904,1.000000,0.017616,0.218445,0.327596,0.186859
597,exon,1.135976,311,0.342465,0.254430,0.214713,0.188392,0.460095,1.000000,0.023559,0.130819,0.294204,0.347379
598,exon,0.413241,812,0.367152,0.219432,0.223321,0.190095,0.243555,1.000000,0.046075,0.122158,0.406862,0.153872
599,exon,0.104841,507,0.291901,0.219039,0.242388,0.246672,0.295158,1.000000,0.028253,0.102163,0.465373,0.109589
600,exon,0.015616,599,0.294335,0.217946,0.239303,0.248416,1.302428,1.000000,0.032289,0.089469,0.242361,0.248613
601,exon,0.224420,373,0.310211,0.249668,0.257689,0.182431,1.139546,1.000000,0.049979,0.057068,0.382875,0.152741
602,exon,0.095826,1269,0.268011,0.265268,0.252681,0.214041,0.695116,1.000000,0.053908,0.063504,0.361559,0.172426
603,exon,0.424394,248,0.358768,0.221737,0.244059,0.175436,0.055424,1.000000,0.009237,0.204377,0.325721,0.175646
604,exon,0.074110,325,0.347239,0.234807,0.246218,0.171736,0.198766,1.000000,0.050729,0.123022,0.326888,0.222775
605,exon,0.218963,1440,0.327590,0.226857,0.204911,0.240642,0.560052,1.000000,0.060377,0.088601,0.320748,0.313603
606,exon,0.177639,240,0.343048,0.215379,0.278891,0.162682,0.281972,1.000000,0.045782,0.159110,0.359892,0.188223
607,exon,0.085223,1102,0.337553,0.202192,0.223848,0.236408,0.096637,1.000000,0.023108,0.123147,0.406905,0.164316
608,exon,0.614806,678,0.311781,0.252054,0.243426,0.192738,0.221902,1.000000,0.052738,0.121233,0.291610,0.129632
609,exon,0.048882,470,0.354071,0.186996,0.258236,0.200697,0.638065,1.000000,0.169817,0.073020,0.222981,0.377702
610,exon,0.087398,777,0.285402,0.221120,0.276619,0.216859,0.210295,1.000000,0.030568,0.158587,0.327968,0.093019
611,exon,0.540499,466,0.337387,0.270377,0.218177,0.174059,0.269555,1.000000,0.135644,0.104632,0.318863,0.235974
612,exon,0.589428,658,0.387013,0.201171,0.169838,0.241978,0.030374,1.000000,0.004812,0.209677,0.239866,0.217990
613,exon,0.111890,590,0.288190,0.258137,0.235149,0.218524,0.212047,1.000000,0.018252,0.135720,0.386153,0.164852
614,exon,0.281664,616,0.322894,0.231995,0.231640,0.213471,0.495263,1.000000,0.019951,0.161936,0.231140,0.166043
615,exon,0.151074,324,0.284852,0.236361,0.303710,0.175077,0.668948,1.000000,0.050511,0.108091,0.220974,0.243149
616,exon,0.275299,398,0.330844,0.214406,0.205696,0.249054,0.577711,1.000000,0.079487,0.097658,0.213271,0.222957
617,exon,0.358709,667,0.264676,0.220953,0.249493,0.264878,0.331619,1.000000,0.064834,0.127671,0.177090,0.226772
618,exon,0.341259,241,0.305238,0.209314,0.238641,0.246807,0.413210,1.000000,0.051010,0.050784,0.394133,0.220665
619,exon,0.069657,875,0.302016,0.219568,0.215277,0.263139,0.202891,1.000000,0.131049,0.034945,0.373131,0.165072
620,exon,0.203557,447,0.316633,0.245707,0.243128,0.194533,0.230880,1.000000,0.028542,0.053837,0.316500,0.290316
621,exon,0.694556,444,0.300145,0.196287,0.250587,0.252982,0.553480,1.000000,0.055876,0.061517,0.286571,0.313135
622,exon,0.069276,633,0.308995,0.245665,0.226660,0.218681,0.107487,1.000000,0.104388,0.112022,0.357228,0.155759
623,exon,0.171975,626,0.315666,0.268529,0.206504,0.209301,0.055622,1.000000,0.075732,0.075722,0.320569,0.225827
624,exon,0.021699,544,0.274282,0.204672,0.247739,0.273307,0.580902,1.000000,0.056621,0.172560,0.315084,0.159304
625,exon,2.220439,459,0.364793,0.200709,0.232488,0.202010,0.126667,1.000000,0.029797,0.126777,0.310254,0.245239
626,exon,0.154624,771,0.300438,0.239731,0.259661,0.200169,0.445276,1.000000,0.018707,0.122950,0.428956,0.138266
627,exon,0.136860,765,0.312646,0.249828,0.229743,0.207783,0.172240,1.000000,0.055857,0.121549,0.381964,0.162310
628,exon,0.051214,1332,0.304629,0.210540,0.235189,0.249643,0.562028,1.000000,0.008651,0.182536,0.210754,0.334189
629,exon,0.006348,1017,0.322816,0.261916,0.231309,0.183958,0.202591,1.000000,0.033484,0.056659,0.467803,0.182325
630,exon,1.036181,518,0.318483,0.214041,0.269822,0.197654,0.208943,1.000000,0.004779,0.069476,0.481249,0.085971
631,exon,0.234712,1377,0.372381,0.220396,0.216153,0.191071,0.543654,1.000000,0.085555,0.071439,0.319344,0.333649
632,exon,0.182395,639,0.301416,0.252222,0.231177,0.215185,0.394131,1.000000,0.049913,0.067998,0.410088,0.059351
633,exon,0.367042,925,0.304466,0.248940,0.254685,0.191910,0.632613,1.000000,0.022538,0.104570,0.357965,0.144506
634,exon,0.119056,983,0.284919,0.235937,0.279743,0.199401,0.226176,1.000000,0.076738,0.062334,0.263345,0.231464
635,exon,0.520119,1257,0.291712,0.259640,0.205286,0.243362,0.748378,1.000000,0.020749,0.072323,0.197913,0.342330
636,exon,0.125266,939,0.296816,0.180410,0.242321,0.280453,0.144394,1.000000,0.047785,0.137849,0.268822,0.153390
637,exon,0.000161,920,0.317064,0.211615,0.206386,0.264935,0.186819,1.000000,0.053522,0.111675,0.272701,0.280339
638,exon,0.011078,767,0.321728,0.226410,0.256374,0.195489,0.255381,1.000000,0.044808,0.117152,0.237787,0.301752
639,exon,0.160696,409,0.289943,0.219837,0.272582,0.217639,0.342646,1.000000,0.066015,0.099352,0.443232,0.171422
640,exon,0.275304,736,0.345364,0.242615,0.210249,0.201773,0.131050,1.000000,0.046579,0.068951,0.356173,0.169860
641,exon,0.467619,371,0.355578,0.190515,0.233757,0.220149,0.295290,1.000000,0.073466,0.056122,0.312753,0.235006
642,exon,0.202776,760,0.333254,0.171548,0.246419,0.248780,0.410876,1.000000,0.004220,0.101491,0.369660,0.119960
643,exon,0.471485,1183,0.326829,0.224441,0.220142,0.228588,0.383826,1.000000,0.239941,0.123721,0.242647,0.150685
644,exon,0.158858,1033,0.342717,0.208907,0.231860,0.216517,0.249544,1.000000,0.028185,0.096740,0.261940,0.294611
645,exon,0.258952,760,0.326970,0.227214,0.212939,0.232877,0.525906,1.000000,0.080000,0.075650,0.512693,0.076727
646,exon,0.033980,495,0.295516,0.243428,0.226428,0.234628,0.638303,1.000000,0.072172,0.069059,0.361124,0.275845
647,exon,0.298604,557,0.367946,0.254359,0.201133,0.176561,0.356724,1.000000,0.024428,0.050417,0.406074,0.132924
648,exon,0.203571,515,0.282379,0.229128,0.288743,0.199750,0.255721,1.000000,0.042071,0.080308,0.316901,0.171750
649,exon,0.136094,348,0.309887,0.259498,0.189747,0.240868,0.424150,1.000000,0.062259,0.114893,0.200513,0.222100
650,exon,0.277704,1370,0.310277,0.201317,0.276794,0.211611,0.447156,1.000000,0.069976,0.095351,0.300042,0.245043
651,exon,0.081784,1488,0.302395,0.204576,0.263070,0.229959,0.252203,1.000000,0.015882,0.153928,0.225884,0.143471
652,exon,0.029418,545,0.313306,0.197560,0.288499,0.200636,0.084079,1.000000,0.042067,0.146508,0.288537,0.148951
653,exon,0.135140,1336,0.339221,0.233350,0.199682,0.227747,0.278805,1.000000,0.092856,0.150322,0.316670,0.229768
654,exon,0.170259,336,0.375261,0.174917,0.254701,0.195121,0.213762,1.000000,0.085385,0.096815,0.164630,0.314545
655,exon,0.267122,966,0.311471,0.232011,0.230247,0.226271,1.278537,1.000000,0.072672,0.136841,0.288895,0.190918
656,exon,0.333541,868,0.287982,0.199353,0.223518,0.289147,0.169687,1.000000,0.086123,0.068997,0.405707,0.105915
657,exon,0.437899,1288,0.296071,0.228538,0.250609,0.224783,0.761169,1.000000,0.016254,0.059104,0.380692,0.225497
658,exon,0.417908,1414,0.359218,0.206052,0.253224,0.181506,0.354138,1.000000,0.041274,0.162119,0.255254,0.298442
659,exon,0.024638,517,0.235218,0.255018,0.273480,0.236284,0.109467,1.000000,0.035401,0.066616,0.481513,0.104116
660,exon,0.415131,522,0.298313,0.212664,0.288006,0.201017,0.476593,1.000000,0.085389,0.070371,0.344072,0.184829
661,exon,0.035252,1750,0.341385,0.213151,0.196421,0.249043,0.533225,1.000000,0.150925,0.164208,0.357325,0.067766
662,exon,0.023970,621,0.327920,0.201282,0.246223,0.224575,0.482964,1.000000,0.037756,0.055823,0.354357,0.161368
663,exon,0.451970,312,0.302634,0.210059,0.233455,0.253851,0.173117,1.000000,0.029880,0.117296,0.240203,0.185493
664,exon,0.192429,1064,0.285226,0.210163,0.286176,0.218435,0.428375,1.000000,0.138694,0.093256,0.291518,0.183872
665,exon,0.278492,388,0.340592,0.233447,0.246148,0.179813,0.181384,1.000000,0.046654,0.093735,0.307701,0.282694
666,exon,0.013070,1279,0.312819,0.236241,0.259075,0.191865,0.451393,1.000000,0.092590,0.087354,0.285868,0.178439
667,exon,0.212600,340,0.324445,0.228177,0.239086,0.208292,1.248948,1.000000,0.020405,0.082445,0.222435,0.248574
668,exon,0.147804,363,0.330298,0.216237,0.207684,0.245780,0.258658,1.000000,0.102076,0.075194,0.288724,0.222585
669,exon,0.058978,540,0.263571,0.314445,0.224187,0.197797,0.763513,1.000000,0.029205,0.076018,0.411891,0.148558
670,exon,0.151735,583,0.291491,0.272748,0.202692,0.233068,0.626966,1.000000,0.052948,0.075792,0.428028,0.135553
671,exon,0.036303,317,0.325348,0.221245,0.240471,0.212936,0.238222,1.000000,0.090751,0.088078,0.310145,0.120288
672,exon,0.004833,521,0.315988,0.248587,0.215104,0.220321,1.120931,1.000000,0.051114,0.094632,0.373897,0.120847
673,exon,0.212998,1106,0.322572,0.229546,0.236552,0.211331,0.738390,1.000000,0.012787,0.165975,0.264648,0.285978
674,exon,0.180236,1565,0.323772,0.213031,0.211585,0.251612,0.202358,1.000000,0.103540,0.134423,0.328218,0.149317
675,exon,0.164164,388,0.350721,0.195050,0.248955,0.205274,0.191790,1.000000,0.069275,0.138207,0.259227,0.186294
676,exon,0.048723,383,0.374093,0.227953,0.214209,0.183745,0.555592,1.000000,0.034469,0.096752,0.257857,0.283918
677,exon,0.040469,855,0.304457,0.218013,0.283108,0.194421,0.250128,1.000000,0.014137,0.024864,0.235185,0.184852
678,exon,0.613966,655,0.292639,0.240925,0.285337,0.181100,0.812468,1.000000,0.015077,0.100406,0.495421,0.162993
679,exon,0.500716,353,0.329393,0.234362,0.260510,0.175734,0.126338,1.000000,0.024874,0.174863,0.265477,0.151855
680,exon,0.152162,733,0.274735,0.226419,0.266662,0.232185,0.265236,1.000000,0.065402,0.119659,0.369897,0.200136
681,exon,0.297666,218,0.327870,0.232815,0.245803,0.193512,0.302530,1.000000,0.012555,0.154598,0.312765,0.292710
